
--- Uncategorized Transactions (Sorted by Date) ---
Date: 2026-07-25, Amount:      -4.15, Bank: amex        , Description: LS COLICCI KENSINGTON LONDON
Date: 2026-07-24, Amount:      -0.50, Bank: amex        , Description: WILCOMATIC LIMITED SAIN CROYDON
Date: 2026-06-24, Amount:       0.00, Bank: monzo       , Description: GOOGLE *TEMPORARY HOLD DUBLIN 4 IRL
Date: 2026-06-24, Amount:     -10.00, Bank: monzo       , Description: GOOGLE *CLOUD C5DBSX DUBLIN IRL
Date: 2026-05-06, Amount:      -6.90, Bank: amex        , Description: CHINESE BRITISH ENTERP LONDON
Date: 2026-04-28, Amount:       1.10, Bank: barclays    , Description: GOVIA TRAINS LTD DRTL33180022 BGC
Date: 2026-04-28, Amount:       0.50, Bank: barclays    , Description: GOVIA TRAINS LTD DRTL33179994 BGC
Date: 2026-04-28, Amount:      -6.10, Bank: amex        , Description: CKO*SUNDAY*LONG ARM BRE LONDON
Date: 2026-04-28, Amount:      -6.10, Bank: amex        , Description: CKO*SUNDAY*LONG ARM BRE LONDON
Date: 2026-04-25, Amount:      -8.00, Bank: amex        , Description: DOJO*THE GOLDEN LION CA LONDON
Date: 2026-04-19, Amount:      -4.70, Bank: amex        , Description: BBM Northampton South C Northampton
Date: 2026-04-18, Amount:     -10.45, Bank: amex        , Description: 3CPAYMENT*WELCOME BREAK NEWPORT PAGNELL
Date: 2026-03-29, Amount:      -9.73, Bank: revolut_usd , Description: Badoo
Date: 2026-03-28, Amount:     -10.49, Bank: revolut_usd , Description: Feteer Al Asdkaa >
Date: 2026-03-23, Amount:      -4.09, Bank: revolut_gbp , Description: Orange
Date: 2025-12-26, Amount:      -1.00, Bank: monzo       , Description: NYX*MotorFuelLimited StAlbans GBR
Date: 2025-12-20, Amount:      -0.20, Bank: monzo       , Description: NYX*TheRoyalParksLtd London GBR
Date: 2025-12-20, Amount:      -3.70, Bank: amex        , Description: DINES* 2631 COFFEE WW LONDON
Date: 2025-12-20, Amount:      -8.00, Bank: amex        , Description: EL PASTOR CDY LTD - THE LONDON
Date: 2025-11-12, Amount:      -8.45, Bank: amex        , Description: BOOTS THE CHEMIST LONDON
Date: 2025-10-28, Amount:     -13.99, Bank: barclays    , Description: PAYPAL *GOOGLE FEE ON 27 OCT BCC
Date: 2025-10-04, Amount:      -2.20, Bank: amex        , Description: PUCCINOS FINSBURY PARK SEVEN SISTERS R
Date: 2025-09-27, Amount:      -4.74, Bank: amex        , Description: REDEMPTION ROASTERS HAM London
Date: 2025-09-20, Amount:      -2.95, Bank: amex        , Description: RHUBARB AT RAH LONDON
Date: 2025-09-20, Amount:      -8.30, Bank: amex        , Description: VENCHI UK LONDON
Date: 2025-09-11, Amount:     -10.31, Bank: amex        , Description: ZETTLE *DOUBLE SEVEN HO LONDON
Date: 2025-07-22, Amount:       0.00, Bank: monzo       , Description: GOOGLE *CHROME TEMP g.co/helppay# GBR
Date: 2025-07-02, Amount:       0.00, Bank: monzo       , Description: GOOGLE *TEMPORARY HOLD g.co/helppay# GBR
Date: 2025-06-09, Amount:      11.20, Bank: barclays    , Description: GOVIA TRAINS LTD DRTL31647205 BGC
